review_id,asin,brand,rating,title,body,sentiment,compound_score,verified_purchase,helpful_votes,review_date,aspect_wheels,aspect_handle,aspect_material,aspect_zipper,aspect_size,aspect_durability,aspect_lock,aspect_weight
R498CAXFQFC89,B0DNMVSTL8,Safari,1,1.0 out of 5 stars,"मैंने 2 सूटकेस का कॉम्बो आर्डर किया था, लेकिन एक सूटकेस की ही डिलीवरी दी गई, जब कंप्लेंट की गई तो रिटर्न की सलाह कस्टमर केअर ने दी।
रिटर्न्स के बाद रिफंड 15 दिन बीत जाने के बाद भी अभी तक नहीं मिला है।",neutral,0.0,False,0,8 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2Z77990DZ2JHP,B0DNMVSTL8,Safari,5,5.0 out of 5 stars,Very good product all rating 5 star,positive,0.91,True,0,5 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM7FZ7Z51WPHC,B0DNMVSTL8,Safari,2,2.0 out of 5 stars,"Within a year of my use the item was damaged and a crack has opened in the Outer Case. While my warranty should cover it.

I DON'T KNOW HOW",neutral,0.0,True,0,9 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3YI3Z66DCEMF,B0DNMVSTL8,Safari,4,4.0 out of 5 stars,Size is larger than expected. Otherwise its a good practical product,positive,0.2,True,0,13 January 2026,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
R38FGKOTKISQQM,B0DNMVSTL8,Safari,4,4.0 out of 5 stars,"Nice product, very easy to carry, efficiency is good, very good load bearing capacity, suitable for students, small family short trip",positive,0.439,False,0,11 January 2026,0.0,0.0,0.0,0.0,0.439,0.0,0.0,0.0
R280HWMVKF5C8Z,B0DNMVSTL8,Safari,1,1.0 out of 5 stars,Charging more than 6000 rupees for a cabin bag but still cannot come with a good quality. Plastic feels cheap and its very brittle! Not recommended,positive,0.463,True,2,26 December 2025,0.0,0.0,0.463,0.0,0.0,0.0,0.0,0.0
R2PQR1R9HVDYF7,B0D79727MK,Safari,4,4.0 out of 5 stars,Very nice Bag specially for Solo travellers and business trips. The charger connection given is useless and obsolete when we all have now c chargers and power banks,positive,0.212,True,0,24 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12YUI74MXQI9N,B0D79727MK,Safari,4,4.0 out of 5 stars,Decent quality for the price. The extending handle is slightly wobbly and could have been better. The wheels are very smooth.,positive,0.255,True,0,10 March 2026,0.255,0.255,0.0,0.0,0.0,0.0,0.0,0.255
R14Q9O5NQMI9Q2,B0D79727MK,Safari,5,5.0 out of 5 stars,ortable fmoC,neutral,0.0,True,0,3 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3C3LAUBSKGUO6,B0D79727MK,Safari,3,3.0 out of 5 stars,The outer casing seems flimsy. I have purchased same brand last year but this one quality seems worse than the earlier purchase. Unfortunately I have to travel and there is no time for returns.,negative,-0.18,True,0,22 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3892WCXJ055JJ,B0D79727MK,Safari,5,5.0 out of 5 stars,Safari product - quality is its forte,neutral,0.0,True,0,17 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R37FD6JVH69571,B0D79727MK,Safari,5,5.0 out of 5 stars,"It perfect. I got what I wanted, exactly.",positive,0.625,True,0,15 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1764KV36IK690,B097B2Z6X9,Safari,5,5.0 out of 5 stars,Light weight and good looking product,positive,0.55,True,0,18 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
R3NXZWWJ29XXS8,B097B2Z6X9,Safari,5,5.0 out of 5 stars,The bag just completed its first journey. It rolls well. Handles exceptionally well. Sturdy. it has the right foot print. The TSA locks are super convenient.,positive,0.384,True,0,11 March 2026,0.384,0.384,0.0,0.0,0.0,0.384,0.384,0.0
R3BH9BLMT1VJ2V,B097B2Z6X9,Safari,1,1.0 out of 5 stars,"Horrible bag, broken after using the 1st time and Safari are not exchanging the trolley even though I hold a warranty.",negative,-0.7,True,0,13 February 2026,-0.7,0.0,0.0,0.0,0.0,-0.7,0.0,0.0
R3BMIVK5YP8LJO,B097B2Z6X9,Safari,4,4.0 out of 5 stars,Very good but we can improve inner part of trolley bag,positive,0.455,True,0,3 February 2026,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R72PL94PB3C0P,B097B2Z6X9,Safari,1,1.0 out of 5 stars,Poor quality. So I had returned immediately,negative,-0.4,True,0,30 November 2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2YB3AJEBLI5LZ,B097B2Z6X9,Safari,5,5.0 out of 5 stars,"Nice color , spacious,strong",positive,0.6,True,0,20 November 2025,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0
R22GT8BVF5T2N3,B0CW9T2Y43,Safari,1,1.0 out of 5 stars,Do not purchase this product. Quality has been compromised for cost cutting. Main and Side handles are not flexible. Even support bracket at bottom of the luggage is not there.,negative,-0.217,True,0,26 March 2026,0.0,-0.217,0.0,0.0,0.0,0.0,0.0,0.0
R2AS8WZYHV2C7I,B0CW9T2Y43,Safari,1,1.0 out of 5 stars,Very bad and froud service application,negative,-0.91,True,0,23 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDQ6FACBVT7EC,B0CW9T2Y43,Safari,3,3.0 out of 5 stars,"I am sorry to inform you about the behaviour of delivary associate.He will always try to handover the items to watch woman.I am in station living in 3rd floor.can he come to hand over item?lift fecility is there.I am a senior citizen aged70. After seeing your message in WhatsApp,I made a phone call to watch woman.It is not fair to deal with customers.The relationship should be fair and healthy.Dont entertain reckless people as delivary associates.
I will write particular review about the item,after
seeing the item.

The item is very nice.Color is also good.
Expandable.We can keep wet cloths like towel
Two other zips are useful to keep medicines.Soap box etc.
I am happy with purchase.
Instruct the delivary associate to handover to party,when he is at home.If I were out of station
I give instruction to hand over to watch man/woman.OTP method is the best way to solve this kind of problems.
Thank You.",positive,0.261,True,0,11 March 2026,0.0,0.0,0.0,0.261,0.0,0.0,0.261,0.0
R222CWYX3FUXXI,B0CW9T2Y43,Safari,5,5.0 out of 5 stars,Very good for international travel. Easy for movement.,positive,0.448,True,0,8 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R9YOHQKZ1HPXR,B0CW9T2Y43,Safari,5,5.0 out of 5 stars,Value for maney good prodact,positive,0.7,True,0,7 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAHRRI8H0LM5C,B0CW9T2Y43,Safari,5,5.0 out of 5 stars,Very good in this price,positive,0.91,True,0,3 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R384XZMUHD9Q3W,B0F5HKFPWR,Safari,4,4.0 out of 5 stars,"The set is good, colour is nice and there are no scratches or anything.
The overall build quality of the bags and the quality of the wheels and the handles feels a bit weak/flimsy but at this price point can't really complain as in the stores the sets start from 13k onwards.
If anyone wants a decent set of bags in a limited budget then you can definitely purchase this set. It is definitely value for money.",positive,0.199,True,0,19 March 2026,0.199,0.199,0.0,0.0,0.0,0.0,0.0,0.0
R3CI7JM9P2MXHH,B0F5HKFPWR,Safari,5,5.0 out of 5 stars,Amazing😍😍😍😍😍😍😍 so nice,positive,0.6,True,0,16 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R302JBGYWI8DP5,B0F5HKFPWR,Safari,5,5.0 out of 5 stars,Awesome go for it without any doubt..,positive,1.0,True,0,15 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R26MSK0ERVGI0X,B0F5HKFPWR,Safari,5,5.0 out of 5 stars,All ok,positive,0.5,True,0,14 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2MXN2W349CBXF,B0F5HKFPWR,Safari,3,3.0 out of 5 stars,The chain broke when i first opened it.,positive,0.25,True,0,7 March 2026,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
R1UQCE5ROSU0UU,B0F5HKFPWR,Safari,5,5.0 out of 5 stars,Good product in excellent condition and very good packaging.,positive,0.87,True,0,7 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R17OVT83GF532F,B0C24GPS2C,Safari,5,5.0 out of 5 stars,Product is very sturdy and reliable.,positive,0.2,True,0,5 January 2026,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
R2IL1ORAPCWA8L,B0C24GPS2C,Safari,1,1.0 out of 5 stars,"This is not polycarbonate material. Don't be fooled by the false claims. This is not what premium build quality looks like. At most, it's a blend of ABS (which is cheaper and lower quality) with maybe a little bit of polycarbonate mixed in. Real polycarbonate luggage doesn't come in 7 to 8 thousand rupees anyway. It's more expensive.

Also, not user friendly. The telescopic handle is too short. So I can't fit a backpack onto it for easy carrying. Dissapointed in Safari, but I guess every company is doing the same these days. Selling lower quality ABS luggage and calling it polycarbonate. Since actual polycarbonate luggage would be expensive and not affordable for most people.

My only gripe is why lie about it, and cheat innocent customers who don't know which is which?",positive,0.107,True,0,8 December 2025,0.0,0.107,0.107,0.0,0.0,0.0,0.0,0.0
R1UZ5GR2YP3Z0P,B0C24GPS2C,Safari,5,5.0 out of 5 stars,Good,positive,0.7,True,0,7 December 2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROFD3E4SN20YU,B0C24GPS2C,Safari,5,5.0 out of 5 stars,Very good,positive,0.91,True,0,6 June 2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3DAAVY94DUS32,B0C24GPS2C,Safari,5,5.0 out of 5 stars,"The product is Sturdy, stylish design and reliable . The features like laundry bag, TSA lock separate pockets four wheel and handles.",positive,0.5,True,0,18 May 2025,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0
RHZ8YY95D0EC5,B0C24GPS2C,Safari,5,5.0 out of 5 stars,Good quite,positive,0.7,True,0,19 February 2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R117TUOERW56DB,B09G72J5Y6,Safari,4,4.0 out of 5 stars,It's a good one. The color is as displayed in the ad picture. The body is light and the plastic quality seems moderately durable and the wheels are smooth and it's very much spacious. Now will have to see how sturdy and durable it actually is after a long tour.,positive,0.244,True,0,25 March 2026,0.244,0.0,0.244,0.0,0.244,0.244,0.0,0.244
RUOT7BCTWWU38,B09G72J5Y6,Safari,3,3.0 out of 5 stars,Trolley is good. Material of the trolley should be better.,positive,0.6,True,0,14 March 2026,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0
R3S1UD8IJ4K37N,B09G72J5Y6,Safari,5,5.0 out of 5 stars,"Totally worth the money. Nice look, sturdy body and light weight. Go buy it without any doubt.",positive,0.433,True,0,10 March 2026,0.0,0.0,0.0,0.0,0.0,0.433,0.0,0.433
RU8N0CCLUS00C,B09G72J5Y6,Safari,1,1.0 out of 5 stars,Used item given,neutral,0.0,True,0,8 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R224F09K50VX86,B09G72J5Y6,Safari,5,5.0 out of 5 stars,"Very nice color or nice quality lock is good space very good no bags have space like this ha but after one 2 time used little dirty while flights
I’ll order cabin bag also",positive,0.367,True,0,6 March 2026,0.0,0.0,0.0,0.0,0.367,0.0,0.367,0.367
R30SRUP8KSTQTY,B09G72J5Y6,Safari,5,5.0 out of 5 stars,Awesome and really worth for money,positive,0.65,True,0,5 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1BL9A41HTEOXH,B0FDGHHX8S,Safari,5,5.0 out of 5 stars,Good quality and easy to put clothes. Good looking as well. Wheels are smooth in motion,positive,0.558,True,0,27 March 2026,0.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R16HXUNKBFT08U,B0FDGHHX8S,Safari,5,5.0 out of 5 stars,Best product 👌,positive,1.0,True,0,13 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3CU2ZDP459E3G,B0FDGHHX8S,Safari,2,2.0 out of 5 stars,On heavy load with extender open the trolley got open,negative,-0.067,True,0,15 February 2026,-0.067,0.0,0.0,0.0,0.0,0.0,0.0,-0.067
R12QMKZLGH4F9B,B0FDGHHX8S,Safari,5,5.0 out of 5 stars,"This review I am writing after use of product in travel. I absolutely liked the product. Quality is very good, product is lightweight and wheels are smooth. Product colour is exactly as shown in the photograph. It came in time time in good packging.",positive,0.572,True,0,14 October 2025,0.572,0.0,0.572,0.0,0.0,0.0,0.0,0.572
R1GZJAMRNLVX01,B0FDGHHX8S,Safari,5,5.0 out of 5 stars,Very good quality..satisfied,positive,0.91,True,0,11 October 2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCKCU23XJ8I1,B0FDGHHX8S,Safari,5,5.0 out of 5 stars,Good Suitcase,positive,0.7,True,0,30 September 2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2HWLO5S9S4UUF,B0CHRL351K,Safari,1,1.0 out of 5 stars,"There is no stickers on the suitcase waste of money, size is also very small better don't buy it,, not at all worthable.",neutral,-0.008,True,0,27 March 2026,0.0,0.0,0.0,0.0,-0.008,0.0,0.0,0.0
R2PMOWCO3X0AJ4,B0CHRL351K,Safari,5,5.0 out of 5 stars,Good quality product having nice look,positive,0.65,True,0,26 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSWWYOHSOJLG6,B0CHRL351K,Safari,4,4.0 out of 5 stars,Good,positive,0.7,True,0,5 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3VRTCLOX6VF1A,B0CHRL351K,Safari,5,5.0 out of 5 stars,Nice,positive,0.6,True,0,22 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWK3HBCOAJYAX,B0CHRL351K,Safari,5,5.0 out of 5 stars,Very good product,positive,0.91,True,0,21 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12E7OOHYTSQX8,B0CHRL351K,Safari,2,2.0 out of 5 stars,Item weight is more than promised in advertisements on Amazon,positive,0.5,True,0,16 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
R7T91G0BBJLIC,B0BPC519LM,Skybags,3,3.0 out of 5 stars,"First time ordered delsey product. Nothing special to say looks similar in finish, build as American tourister. Packing was not good, no thermocol, bubble paper inside the cardboard box. Could be damaged/scratched easily. Can't think of any reason to recommend.",positive,0.115,True,0,8 March 2026,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.0
R34B6HVF1XJGQP,B0BPC519LM,Skybags,5,5.0 out of 5 stars,"Excellent bag, easy to carry and light weight, very spacious and expandable. Noise level is low. Durable, using it since a year. Worth the price.",positive,0.389,True,0,2 March 2026,0.0,0.0,0.0,0.0,0.389,0.389,0.0,0.389
R1TZA2Z6OI91AY,B0BPC519LM,Skybags,4,4.0 out of 5 stars,"Good , value for money",positive,0.7,True,0,1 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R34L15LHBAJG6C,B0BPC519LM,Skybags,1,1.0 out of 5 stars,Scuffed,neutral,0.0,True,0,15 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3P7QBMBRESYAU,B0BPC519LM,Skybags,1,1.0 out of 5 stars,Looked like a used / first copy product. Goof up with the logo!,positive,0.312,True,0,10 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RVHVHRYPXGYQP,B0BPC519LM,Skybags,1,1.0 out of 5 stars,"Bad surface, only after one use the box looked scratched all over. Feels like 3 year used old. I wish I could get replacement",negative,-0.2,True,0,9 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2HWLO5S9S4UUF,B0DTFKJKGY,Skybags,1,1.0 out of 5 stars,"There is no stickers on the suitcase waste of money, size is also very small better don't buy it,, not at all worthable.",neutral,-0.008,True,0,27 March 2026,0.0,0.0,0.0,0.0,-0.008,0.0,0.0,0.0
R2PMOWCO3X0AJ4,B0DTFKJKGY,Skybags,5,5.0 out of 5 stars,Good quality product having nice look,positive,0.65,True,0,26 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSWWYOHSOJLG6,B0DTFKJKGY,Skybags,4,4.0 out of 5 stars,Good,positive,0.7,True,0,5 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3VRTCLOX6VF1A,B0DTFKJKGY,Skybags,5,5.0 out of 5 stars,Nice,positive,0.6,True,0,22 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWK3HBCOAJYAX,B0DTFKJKGY,Skybags,5,5.0 out of 5 stars,Very good product,positive,0.91,True,0,21 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12E7OOHYTSQX8,B0DTFKJKGY,Skybags,2,2.0 out of 5 stars,Item weight is more than promised in advertisements on Amazon,positive,0.5,True,0,16 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
R1C1C3RRNUU57I,B0FJXWT2VB,Skybags,1,1.0 out of 5 stars,The item was small and poor quality. Have immediately initiated return on the same day of delivery (18th mar 2026) but it is neither picked up nor money is refunded.,negative,-0.217,True,0,24 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCPDEQNAIB0RA,B0FJXWT2VB,Skybags,5,5.0 out of 5 stars,"Mainly ordered for the colour (red/maroon), as I was not getting much options when it came to colour in American Tourister..",positive,0.122,False,0,21 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2EYUL2KG5RZHE,B0FJXWT2VB,Skybags,4,4.0 out of 5 stars,Good and stylish matte black colour but handle is little bit thin not feel strong otherwise product is good at this price range,positive,0.226,True,0,12 March 2026,0.0,0.226,0.0,0.0,0.0,0.226,0.0,0.0
