review_id,asin,brand,rating,title,body,sentiment,compound_score,verified_purchase,helpful_votes,review_date,aspect_wheels,aspect_handle,aspect_material,aspect_zipper,aspect_size,aspect_durability,aspect_lock,aspect_weight
RTBQE5FY03PXV,B0FJXWT2VB,Skybags,4,4.0 out of 5 stars,Good to go,positive,0.7,True,0,4 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1MGACPPXWEHNV,B0FJXWT2VB,Skybags,1,1.0 out of 5 stars,"“The inner chain hook is missing, and the stitching is not proper.”",negative,-0.067,True,0,3 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2DIHAGU44Q7BQ,B0FJXWT2VB,Skybags,5,5.0 out of 5 stars,Awesome!,positive,1.0,True,2,18 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2HWLO5S9S4UUF,B0B6BVXCCD,Skybags,1,1.0 out of 5 stars,"There is no stickers on the suitcase waste of money, size is also very small better don't buy it,, not at all worthable.",neutral,-0.008,True,0,27 March 2026,0.0,0.0,0.0,0.0,-0.008,0.0,0.0,0.0
R2PMOWCO3X0AJ4,B0B6BVXCCD,Skybags,5,5.0 out of 5 stars,Good quality product having nice look,positive,0.65,True,0,26 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSWWYOHSOJLG6,B0B6BVXCCD,Skybags,4,4.0 out of 5 stars,Good,positive,0.7,True,0,5 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3VRTCLOX6VF1A,B0B6BVXCCD,Skybags,5,5.0 out of 5 stars,Nice,positive,0.6,True,0,22 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWK3HBCOAJYAX,B0B6BVXCCD,Skybags,5,5.0 out of 5 stars,Very good product,positive,0.91,True,0,21 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12E7OOHYTSQX8,B0B6BVXCCD,Skybags,2,2.0 out of 5 stars,Item weight is more than promised in advertisements on Amazon,positive,0.5,True,0,16 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
R22GT8BVF5T2N3,B0CW9T2Y43,Skybags,1,1.0 out of 5 stars,Do not purchase this product. Quality has been compromised for cost cutting. Main and Side handles are not flexible. Even support bracket at bottom of the luggage is not there.,negative,-0.217,True,0,26 March 2026,0.0,-0.217,0.0,0.0,0.0,0.0,0.0,0.0
R2AS8WZYHV2C7I,B0CW9T2Y43,Skybags,1,1.0 out of 5 stars,Very bad and froud service application,negative,-0.91,True,0,23 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDQ6FACBVT7EC,B0CW9T2Y43,Skybags,3,3.0 out of 5 stars,"I am sorry to inform you about the behaviour of delivary associate.He will always try to handover the items to watch woman.I am in station living in 3rd floor.can he come to hand over item?lift fecility is there.I am a senior citizen aged70. After seeing your message in WhatsApp,I made a phone call to watch woman.It is not fair to deal with customers.The relationship should be fair and healthy.Dont entertain reckless people as delivary associates.
I will write particular review about the item,after
seeing the item.

The item is very nice.Color is also good.
Expandable.We can keep wet cloths like towel
Two other zips are useful to keep medicines.Soap box etc.
I am happy with purchase.
Instruct the delivary associate to handover to party,when he is at home.If I were out of station
I give instruction to hand over to watch man/woman.OTP method is the best way to solve this kind of problems.
Thank You.",positive,0.261,True,0,11 March 2026,0.0,0.0,0.0,0.261,0.0,0.0,0.261,0.0
R222CWYX3FUXXI,B0CW9T2Y43,Skybags,5,5.0 out of 5 stars,Very good for international travel. Easy for movement.,positive,0.448,True,0,8 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R9YOHQKZ1HPXR,B0CW9T2Y43,Skybags,5,5.0 out of 5 stars,Value for maney good prodact,positive,0.7,True,0,7 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAHRRI8H0LM5C,B0CW9T2Y43,Skybags,5,5.0 out of 5 stars,Very good in this price,positive,0.91,True,0,3 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1U2OP9D35YJ4B,B0F5HLYQK3,Skybags,2,2.0 out of 5 stars,Color faded in 1 year just keeping in the room,neutral,0.0,True,0,25 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R10VBCX2KZS0M,B0F5HLYQK3,Skybags,5,5.0 out of 5 stars,Good product,positive,0.7,True,0,23 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3MU2ZX5FNX4IK,B0F5HLYQK3,Skybags,1,1.0 out of 5 stars,Item is without TSA lock.,neutral,0.0,True,0,23 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R18QWEUL4EWHKM,B0F5HLYQK3,Skybags,4,4.0 out of 5 stars,Goog at quality but colour shade looks some difference in reality,neutral,0.0,True,0,21 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1SYM7CNSQCWF6,B0F5HLYQK3,Skybags,1,1.0 out of 5 stars,The set of 3 was ordered and received one.,neutral,0.0,True,0,17 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3R9LGCIOL417,B0F5HLYQK3,Skybags,5,5.0 out of 5 stars,Sturdy and light weight in economical price,positive,0.35,True,0,14 March 2026,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35
R384XZMUHD9Q3W,B0F5HKFPWR,Skybags,4,4.0 out of 5 stars,"The set is good, colour is nice and there are no scratches or anything.
The overall build quality of the bags and the quality of the wheels and the handles feels a bit weak/flimsy but at this price point can't really complain as in the stores the sets start from 13k onwards.
If anyone wants a decent set of bags in a limited budget then you can definitely purchase this set. It is definitely value for money.",positive,0.199,True,0,19 March 2026,0.199,0.199,0.0,0.0,0.0,0.0,0.0,0.0
R3CI7JM9P2MXHH,B0F5HKFPWR,Skybags,5,5.0 out of 5 stars,Amazing😍😍😍😍😍😍😍 so nice,positive,0.6,True,0,16 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R302JBGYWI8DP5,B0F5HKFPWR,Skybags,5,5.0 out of 5 stars,Awesome go for it without any doubt..,positive,1.0,True,0,15 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R26MSK0ERVGI0X,B0F5HKFPWR,Skybags,5,5.0 out of 5 stars,All ok,positive,0.5,True,0,14 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2MXN2W349CBXF,B0F5HKFPWR,Skybags,3,3.0 out of 5 stars,The chain broke when i first opened it.,positive,0.25,True,0,7 March 2026,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
R1UQCE5ROSU0UU,B0F5HKFPWR,Skybags,5,5.0 out of 5 stars,Good product in excellent condition and very good packaging.,positive,0.87,True,0,7 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R7T91G0BBJLIC,B0BPC519LM,Skybags,3,3.0 out of 5 stars,"First time ordered delsey product. Nothing special to say looks similar in finish, build as American tourister. Packing was not good, no thermocol, bubble paper inside the cardboard box. Could be damaged/scratched easily. Can't think of any reason to recommend.",positive,0.115,True,0,8 March 2026,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.0
R34B6HVF1XJGQP,B0BPC519LM,Skybags,5,5.0 out of 5 stars,"Excellent bag, easy to carry and light weight, very spacious and expandable. Noise level is low. Durable, using it since a year. Worth the price.",positive,0.389,True,0,2 March 2026,0.0,0.0,0.0,0.0,0.389,0.389,0.0,0.389
R1TZA2Z6OI91AY,B0BPC519LM,Skybags,4,4.0 out of 5 stars,"Good , value for money",positive,0.7,True,0,1 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R34L15LHBAJG6C,B0BPC519LM,Skybags,1,1.0 out of 5 stars,Scuffed,neutral,0.0,True,0,15 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3P7QBMBRESYAU,B0BPC519LM,Skybags,1,1.0 out of 5 stars,Looked like a used / first copy product. Goof up with the logo!,positive,0.312,True,0,10 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RVHVHRYPXGYQP,B0BPC519LM,Skybags,1,1.0 out of 5 stars,"Bad surface, only after one use the box looked scratched all over. Feels like 3 year used old. I wish I could get replacement",negative,-0.2,True,0,9 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R117TUOERW56DB,B09G71V7QT,Skybags,4,4.0 out of 5 stars,It's a good one. The color is as displayed in the ad picture. The body is light and the plastic quality seems moderately durable and the wheels are smooth and it's very much spacious. Now will have to see how sturdy and durable it actually is after a long tour.,positive,0.244,True,0,25 March 2026,0.244,0.0,0.244,0.0,0.244,0.244,0.0,0.244
RUOT7BCTWWU38,B09G71V7QT,Skybags,3,3.0 out of 5 stars,Trolley is good. Material of the trolley should be better.,positive,0.6,True,0,14 March 2026,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0
R3S1UD8IJ4K37N,B09G71V7QT,Skybags,5,5.0 out of 5 stars,"Totally worth the money. Nice look, sturdy body and light weight. Go buy it without any doubt.",positive,0.433,True,0,10 March 2026,0.0,0.0,0.0,0.0,0.0,0.433,0.0,0.433
RU8N0CCLUS00C,B09G71V7QT,Skybags,1,1.0 out of 5 stars,Used item given,neutral,0.0,True,0,8 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R224F09K50VX86,B09G71V7QT,Skybags,5,5.0 out of 5 stars,"Very nice color or nice quality lock is good space very good no bags have space like this ha but after one 2 time used little dirty while flights
I’ll order cabin bag also",positive,0.367,True,0,6 March 2026,0.0,0.0,0.0,0.0,0.367,0.0,0.367,0.367
R30SRUP8KSTQTY,B09G71V7QT,Skybags,5,5.0 out of 5 stars,Awesome and really worth for money,positive,0.65,True,0,5 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2HWLO5S9S4UUF,B09815BNCJ,American Tourister,1,1.0 out of 5 stars,"There is no stickers on the suitcase waste of money, size is also very small better don't buy it,, not at all worthable.",neutral,-0.008,True,0,27 March 2026,0.0,0.0,0.0,0.0,-0.008,0.0,0.0,0.0
R2PMOWCO3X0AJ4,B09815BNCJ,American Tourister,5,5.0 out of 5 stars,Good quality product having nice look,positive,0.65,True,0,26 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSWWYOHSOJLG6,B09815BNCJ,American Tourister,4,4.0 out of 5 stars,Good,positive,0.7,True,0,5 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3VRTCLOX6VF1A,B09815BNCJ,American Tourister,5,5.0 out of 5 stars,Nice,positive,0.6,True,0,22 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWK3HBCOAJYAX,B09815BNCJ,American Tourister,5,5.0 out of 5 stars,Very good product,positive,0.91,True,0,21 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12E7OOHYTSQX8,B09815BNCJ,American Tourister,2,2.0 out of 5 stars,Item weight is more than promised in advertisements on Amazon,positive,0.5,True,0,16 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
R1U2OP9D35YJ4B,B0F5HMW1M2,American Tourister,2,2.0 out of 5 stars,Color faded in 1 year just keeping in the room,neutral,0.0,True,0,25 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R10VBCX2KZS0M,B0F5HMW1M2,American Tourister,5,5.0 out of 5 stars,Good product,positive,0.7,True,0,23 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3MU2ZX5FNX4IK,B0F5HMW1M2,American Tourister,1,1.0 out of 5 stars,Item is without TSA lock.,neutral,0.0,True,0,23 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R18QWEUL4EWHKM,B0F5HMW1M2,American Tourister,4,4.0 out of 5 stars,Goog at quality but colour shade looks some difference in reality,neutral,0.0,True,0,21 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1SYM7CNSQCWF6,B0F5HMW1M2,American Tourister,1,1.0 out of 5 stars,The set of 3 was ordered and received one.,neutral,0.0,True,0,17 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3R9LGCIOL417,B0F5HMW1M2,American Tourister,5,5.0 out of 5 stars,Sturdy and light weight in economical price,positive,0.35,True,0,14 March 2026,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35
R1C1C3RRNUU57I,B09RPLYFXJ,American Tourister,1,1.0 out of 5 stars,The item was small and poor quality. Have immediately initiated return on the same day of delivery (18th mar 2026) but it is neither picked up nor money is refunded.,negative,-0.217,True,0,24 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCPDEQNAIB0RA,B09RPLYFXJ,American Tourister,5,5.0 out of 5 stars,"Mainly ordered for the colour (red/maroon), as I was not getting much options when it came to colour in American Tourister..",positive,0.122,False,0,21 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2EYUL2KG5RZHE,B09RPLYFXJ,American Tourister,4,4.0 out of 5 stars,Good and stylish matte black colour but handle is little bit thin not feel strong otherwise product is good at this price range,positive,0.226,True,0,12 March 2026,0.0,0.226,0.0,0.0,0.0,0.226,0.0,0.0
RTBQE5FY03PXV,B09RPLYFXJ,American Tourister,4,4.0 out of 5 stars,Good to go,positive,0.7,True,0,4 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1MGACPPXWEHNV,B09RPLYFXJ,American Tourister,1,1.0 out of 5 stars,"“The inner chain hook is missing, and the stitching is not proper.”",negative,-0.067,True,0,3 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2DIHAGU44Q7BQ,B09RPLYFXJ,American Tourister,5,5.0 out of 5 stars,Awesome!,positive,1.0,True,2,18 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R384XZMUHD9Q3W,B0F5HQQ361,American Tourister,4,4.0 out of 5 stars,"The set is good, colour is nice and there are no scratches or anything.
The overall build quality of the bags and the quality of the wheels and the handles feels a bit weak/flimsy but at this price point can't really complain as in the stores the sets start from 13k onwards.
If anyone wants a decent set of bags in a limited budget then you can definitely purchase this set. It is definitely value for money.",positive,0.199,True,0,19 March 2026,0.199,0.199,0.0,0.0,0.0,0.0,0.0,0.0
R3CI7JM9P2MXHH,B0F5HQQ361,American Tourister,5,5.0 out of 5 stars,Amazing😍😍😍😍😍😍😍 so nice,positive,0.6,True,0,16 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R302JBGYWI8DP5,B0F5HQQ361,American Tourister,5,5.0 out of 5 stars,Awesome go for it without any doubt..,positive,1.0,True,0,15 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R26MSK0ERVGI0X,B0F5HQQ361,American Tourister,5,5.0 out of 5 stars,All ok,positive,0.5,True,0,14 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2MXN2W349CBXF,B0F5HQQ361,American Tourister,3,3.0 out of 5 stars,The chain broke when i first opened it.,positive,0.25,True,0,7 March 2026,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
R1UQCE5ROSU0UU,B0F5HQQ361,American Tourister,5,5.0 out of 5 stars,Good product in excellent condition and very good packaging.,positive,0.87,True,0,7 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R384XZMUHD9Q3W,B0F5HKFPWR,American Tourister,4,4.0 out of 5 stars,"The set is good, colour is nice and there are no scratches or anything.
The overall build quality of the bags and the quality of the wheels and the handles feels a bit weak/flimsy but at this price point can't really complain as in the stores the sets start from 13k onwards.
If anyone wants a decent set of bags in a limited budget then you can definitely purchase this set. It is definitely value for money.",positive,0.199,True,0,19 March 2026,0.199,0.199,0.0,0.0,0.0,0.0,0.0,0.0
R3CI7JM9P2MXHH,B0F5HKFPWR,American Tourister,5,5.0 out of 5 stars,Amazing😍😍😍😍😍😍😍 so nice,positive,0.6,True,0,16 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R302JBGYWI8DP5,B0F5HKFPWR,American Tourister,5,5.0 out of 5 stars,Awesome go for it without any doubt..,positive,1.0,True,0,15 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R26MSK0ERVGI0X,B0F5HKFPWR,American Tourister,5,5.0 out of 5 stars,All ok,positive,0.5,True,0,14 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2MXN2W349CBXF,B0F5HKFPWR,American Tourister,3,3.0 out of 5 stars,The chain broke when i first opened it.,positive,0.25,True,0,7 March 2026,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
R1UQCE5ROSU0UU,B0F5HKFPWR,American Tourister,5,5.0 out of 5 stars,Good product in excellent condition and very good packaging.,positive,0.87,True,0,7 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2HWLO5S9S4UUF,B0CHRL351K,American Tourister,1,1.0 out of 5 stars,"There is no stickers on the suitcase waste of money, size is also very small better don't buy it,, not at all worthable.",neutral,-0.008,True,0,27 March 2026,0.0,0.0,0.0,0.0,-0.008,0.0,0.0,0.0
R2PMOWCO3X0AJ4,B0CHRL351K,American Tourister,5,5.0 out of 5 stars,Good quality product having nice look,positive,0.65,True,0,26 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSWWYOHSOJLG6,B0CHRL351K,American Tourister,4,4.0 out of 5 stars,Good,positive,0.7,True,0,5 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3VRTCLOX6VF1A,B0CHRL351K,American Tourister,5,5.0 out of 5 stars,Nice,positive,0.6,True,0,22 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWK3HBCOAJYAX,B0CHRL351K,American Tourister,5,5.0 out of 5 stars,Very good product,positive,0.91,True,0,21 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12E7OOHYTSQX8,B0CHRL351K,American Tourister,2,2.0 out of 5 stars,Item weight is more than promised in advertisements on Amazon,positive,0.5,True,0,16 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
R3LVYZ45UXUCDP,B0D62PN1J9,American Tourister,5,5.0 out of 5 stars,A super cool and durable trolley which is a great value for money..I have been using this one for the last 6 years and it’s still going strong.,positive,0.383,True,0,16 March 2026,0.383,0.0,0.0,0.0,0.0,0.383,0.0,0.0
